Repositorio;Nome;Estrelas;Anos;nº Releases;média CBO;desvio padão CBO;média LCOM;desvio padão LCOM;DIT máximo;LOC Total
ReactiveX/RxAndroid;RxAndroid;19856;9.6;20;2.272727272727273;3.7535657977910963;3.090909090909091;11.131074810919246;3.0;1452.0
oracle/graal;graal;19678;8.19;32;6.352656661213458;7.777964392154159;94.31837257272922;3224.399580402225;393.0;1555382.0
proxyee-down-org/proxyee-down;proxyee-down;24985;6.41;49;5.516666666666667;6.171147021061446;19.516666666666666;49.31243645257137;5.0;3392.0
apache/incubator-seata;incubator-seata;24859;5.24;39;6.839661016949153;24.38276106541722;639.7091525423729;17477.40600607454;911.0;199427.0
scwang90/SmartRefreshLayout;SmartRefreshLayout;24641;6.81;12;6.469543147208122;7.340890020205142;28.80710659898477;276.45271733899733;6.0;18989.0
greenrobot/EventBus;EventBus;24566;11.69;7;3.4262295081967213;3.0575125594429085;9.05464480874317;34.986293456036066;12.0;5269.0
Netflix/Hystrix;Hystrix;23840;11.34;79;3.340648379052369;5.186609324774137;20.253865336658354;385.14522427497036;114.0;62010.0
DrKLO/Telegram;Telegram;23544;10.41;89;6.514426894908674;13.195550493566422;54.79211153269214;828.7585447588925;1686.0;1327190.0
YunaiV/ruoyi-vue-pro;ruoyi-vue-pro;23113;3.16;24;7.759960809928152;7.0139957871707095;16.483997387328543;558.0785123695466;4.0;70789.0
apache/skywalking;skywalking;23110;8.38;58;5.982375478927203;6.593134397009001;5.042911877394636;19.95177321333167;7.0;81333.0
apache/flink;flink;23007;9.8;0;7.069357399515334;8.731984322570096;28.47610094426339;567.0656020261907;116.0;1128466.0
google/gson;gson;22892;9.01;6;2.9528558476881233;4.138091030234315;19.382592928377154;364.6071229089749;7.0;35597.0
libgdx/libgdx;libgdx;22592;11.62;11;5.052774352651048;8.717383546882665;3473.9694204685575;145090.76643353747;48.0;285375.0
redisson/redisson;redisson;22558;10.2;144;5.970238095238095;10.378334573270378;168.94880952380953;1467.6746014943496;7.0;148995.0
jenkinsci/jenkins;jenkins;22233;13.34;327;6.09366391184573;8.299293910521277;44.411720510894064;881.5722836174835;60.0;179383.0
google/ExoPlayer;ExoPlayer;21417;9.78;28;7.587930508991161;8.946263125452502;52.220054861322765;493.0634833717475;31.0;262348.0
Anuken/Mindustry;Mindustry;20826;6.9;160;;;;;;
elunez/eladmin;eladmin;20702;5.27;1;7.734982332155477;7.939952130880718;6.106007067137809;18.94261557344183;4.0;7733.0
apache/rocketmq;rocketmq;20415;7.31;18;6.6882783882783885;9.886864132981621;109.19377289377289;1875.063823528561;11.0;199265.0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition;FizzBuzzEnterpriseEdition;20342;11.33;0;2.901098901098901;2.8208600709126146;0.23076923076923078;0.7121693075173473;1.0;894.0
ReactiveX/RxAndroid;RxAndroid;19856;9.6;20;2.272727272727273;3.7535657977910963;3.090909090909091;11.131074810919246;3.0;1452.0
oracle/graal;graal;19678;8.19;32;6.352656661213458;7.777964392154159;94.31837257272922;3224.399580402225;393.0;1555382.0
OpenAPITools/openapi-generator;openapi-generator;19488;5.87;62;5.117290748898679;6.0549983480394305;101.80368942731278;1294.2968056434056;12.0;219071.0
keycloak/keycloak;keycloak;19464;10.73;53;6.532458147657473;7.911355525563337;65.30278212694206;863.9368959779018;24.0;473847.0
apache/shardingsphere;shardingsphere;19338;8.18;55;6.50156331422616;11.846458768855681;23.585330901511202;354.28783256679884;7.0;181128.0
mybatis/mybatis-3;mybatis-3;19308;11.1;42;3.533083645443196;5.021846565317155;21.624843945068665;258.6802980249444;7.0;55337.0
brettwooldridge/HikariCP;HikariCP;19292;10.46;0;4.386503067484663;4.364279367459175;189.95705521472394;1484.7946806055438;5.0;10652.0
Stirling-Tools/Stirling-PDF;Stirling-PDF;18855;1.15;59;8.076530612244898;7.7564496009661665;8.107142857142858;26.13941722099139;4.0;8633.0
linlinjava/litemall;litemall;18806;6.0;8;4.6175040518638575;5.845073138456506;1532.8849270664505;9394.977696809565;2.0;90884.0
Baseflow/PhotoView;PhotoView;18684;11.68;5;4.733333333333333;5.48290271865389;24.6;155.50139692119953;3.0;1792.0
iBotPeaches/Apktool;Apktool;18587;12.01;22;6.4804469273743015;5.638396679792197;53.675977653631286;297.54195241221566;5.0;12379.0
